date_id,date,year,month,month_name,quarter,weekday,is_weekend
20090101,2009-01-01,2009,1,Jan,1,Thursday,False
20090102,2009-01-02,2009,1,Jan,1,Friday,False
20090103,2009-01-03,2009,1,Jan,1,Saturday,True
20090104,2009-01-04,2009,1,Jan,1,Sunday,True
20090105,2009-01-05,2009,1,Jan,1,Monday,False
20090106,2009-01-06,2009,1,Jan,1,Tuesday,False
20090107,2009-01-07,2009,1,Jan,1,Wednesday,False
20090108,2009-01-08,2009,1,Jan,1,Thursday,False
20090109,2009-01-09,2009,1,Jan,1,Friday,False
20090110,2009-01-10,2009,1,Jan,1,Saturday,True
20090111,2009-01-11,2009,1,Jan,1,Sunday,True
20090112,2009-01-12,2009,1,Jan,1,Monday,False
20090113,2009-01-13,2009,1,Jan,1,Tuesday,False
20090114,2009-01-14,2009,1,Jan,1,Wednesday,False
20090115,2009-01-15,2009,1,Jan,1,Thursday,False
20090116,2009-01-16,2009,1,Jan,1,Friday,False
20090117,2009-01-17,2009,1,Jan,1,Saturday,True
20090118,2009-01-18,2009,1,Jan,1,Sunday,True
20090119,2009-01-19,2009,1,Jan,1,Monday,False
20090120,2009-01-20,2009,1,Jan,1,Tuesday,False
20090121,2009-01-21,2009,1,Jan,1,Wednesday,False
20090122,2009-01-22,2009,1,Jan,1,Thursday,False
20090123,2009-01-23,2009,1,Jan,1,Friday,False
20090124,2009-01-24,2009,1,Jan,1,Saturday,True
20090125,2009-01-25,2009,1,Jan,1,Sunday,True
20090126,2009-01-26,2009,1,Jan,1,Monday,False
20090127,2009-01-27,2009,1,Jan,1,Tuesday,False
20090128,2009-01-28,2009,1,Jan,1,Wednesday,False
20090129,2009-01-29,2009,1,Jan,1,Thursday,False
20090130,2009-01-30,2009,1,Jan,1,Friday,False
20090131,2009-01-31,2009,1,Jan,1,Saturday,True
20090201,2009-02-01,2009,2,Feb,1,Sunday,True
20090202,2009-02-02,2009,2,Feb,1,Monday,False
20090203,2009-02-03,2009,2,Feb,1,Tuesday,False
20090204,2009-02-04,2009,2,Feb,1,Wednesday,False
20090205,2009-02-05,2009,2,Feb,1,Thursday,False
20090206,2009-02-06,2009,2,Feb,1,Friday,False
20090207,2009-02-07,2009,2,Feb,1,Saturday,True
20090208,2009-02-08,2009,2,Feb,1,Sunday,True
20090209,2009-02-09,2009,2,Feb,1,Monday,False
20090210,2009-02-10,2009,2,Feb,1,Tuesday,False
20090211,2009-02-11,2009,2,Feb,1,Wednesday,False
20090212,2009-02-12,2009,2,Feb,1,Thursday,False
20090213,2009-02-13,2009,2,Feb,1,Friday,False
20090214,2009-02-14,2009,2,Feb,1,Saturday,True
20090215,2009-02-15,2009,2,Feb,1,Sunday,True
20090216,2009-02-16,2009,2,Feb,1,Monday,False
20090217,2009-02-17,2009,2,Feb,1,Tuesday,False
20090218,2009-02-18,2009,2,Feb,1,Wednesday,False
20090219,2009-02-19,2009,2,Feb,1,Thursday,False
20090220,2009-02-20,2009,2,Feb,1,Friday,False
20090221,2009-02-21,2009,2,Feb,1,Saturday,True
20090222,2009-02-22,2009,2,Feb,1,Sunday,True
20090223,2009-02-23,2009,2,Feb,1,Monday,False
20090224,2009-02-24,2009,2,Feb,1,Tuesday,False
20090225,2009-02-25,2009,2,Feb,1,Wednesday,False
20090226,2009-02-26,2009,2,Feb,1,Thursday,False
20090227,2009-02-27,2009,2,Feb,1,Friday,False
20090228,2009-02-28,2009,2,Feb,1,Saturday,True
20090301,2009-03-01,2009,3,Mar,1,Sunday,True
20090302,2009-03-02,2009,3,Mar,1,Monday,False
20090303,2009-03-03,2009,3,Mar,1,Tuesday,False
20090304,2009-03-04,2009,3,Mar,1,Wednesday,False
20090305,2009-03-05,2009,3,Mar,1,Thursday,False
20090306,2009-03-06,2009,3,Mar,1,Friday,False
20090307,2009-03-07,2009,3,Mar,1,Saturday,True
20090308,2009-03-08,2009,3,Mar,1,Sunday,True
20090309,2009-03-09,2009,3,Mar,1,Monday,False
20090310,2009-03-10,2009,3,Mar,1,Tuesday,False
20090311,2009-03-11,2009,3,Mar,1,Wednesday,False
20090312,2009-03-12,2009,3,Mar,1,Thursday,False
20090313,2009-03-13,2009,3,Mar,1,Friday,False
20090314,2009-03-14,2009,3,Mar,1,Saturday,True
20090315,2009-03-15,2009,3,Mar,1,Sunday,True
20090316,2009-03-16,2009,3,Mar,1,Monday,False
20090317,2009-03-17,2009,3,Mar,1,Tuesday,False
20090318,2009-03-18,2009,3,Mar,1,Wednesday,False
20090319,2009-03-19,2009,3,Mar,1,Thursday,False
20090320,2009-03-20,2009,3,Mar,1,Friday,False
20090321,2009-03-21,2009,3,Mar,1,Saturday,True
20090322,2009-03-22,2009,3,Mar,1,Sunday,True
20090323,2009-03-23,2009,3,Mar,1,Monday,False
20090324,2009-03-24,2009,3,Mar,1,Tuesday,False
20090325,2009-03-25,2009,3,Mar,1,Wednesday,False
20090326,2009-03-26,2009,3,Mar,1,Thursday,False
20090327,2009-03-27,2009,3,Mar,1,Friday,False
20090328,2009-03-28,2009,3,Mar,1,Saturday,True
20090329,2009-03-29,2009,3,Mar,1,Sunday,True
20090330,2009-03-30,2009,3,Mar,1,Monday,False
